Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1986-12-24,30.0,streamflow,10023000,ft3/s,['A'],0
1999-10-01,27.941177,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-02,27.583334,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-03,27.208334,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-04,27.041666,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-05,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-06,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-07,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-08,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-09,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-10,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-11,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-12,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-13,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-14,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-15,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-16,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-17,27.166666,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-18,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-19,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-20,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-21,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-22,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-23,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-24,27.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-25,26.083334,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-26,26.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-27,26.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-28,26.125,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-29,26.958334,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-30,26.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-10-31,26.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-01,26.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-02,25.333334,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-03,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-04,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-05,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-06,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-07,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-08,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-09,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-10,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-11,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-12,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-13,25.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-14,24.416666,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-15,24.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-16,24.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-17,24.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-18,24.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-19,24.0,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-20,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-21,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-22,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-23,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-24,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-25,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-26,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-27,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-28,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-29,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-11-30,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-01,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-02,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-03,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-04,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-05,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-06,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-07,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-08,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-09,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-10,,streamflow,10023000,ft3/s,"['A', '[91]']",0
1999-12-11,,streamflow,10023000,ft3/s,"['A', '[91]']",0
